dx,TERM,CHAPTER,BLOCK
J158,Other bacterial pneumonia,Diseases of the respiratory system,Influenza and pneumonia
J677,Air conditioner and humidifier lung,Diseases of the respiratory system,Lung diseases due to external agents
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Certain infectious and parasitic diseases,Tuberculosis
G935,Compression of brain,Diseases of the nervous system,Other disorders of the nervous system
J65,Pneumoconiosis associated with tuberculosis,Diseases of the respiratory system,Lung diseases due to external agents
K715,Toxic liver disease with chronic active hepatitis,Diseases of the digestive system,Diseases of liver
A411,Sepsis due to other specified staphylococcus,Certain infectious and parasitic diseases,Other bacterial diseases
B001,Herpesviral vesicular dermatitis,Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions
E032,Hypothyroidism due to medicaments and other exogenous substances,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
F162,Mental and behavioral disorders due to use of hallucinogens: Dependence sydrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
G003,Staphylococcal meningitis,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G009,"Bacterial meningitis, unspecified",Diseases of the nervous system,Inflammatory diseases of the central nervous system
G910,Communicating hydrocephalus,Diseases of the nervous system,Other disorders of the nervous system
G930,Cerebral cysts,Diseases of the nervous system,Other disorders of the nervous system
G932,Benign intracranial hypertension,Diseases of the nervous system,Other disorders of the nervous system
H598,Other postprocedural disorders of eye and adnexa,Diseases of the eye and adnexa,Other disorders of eye and adnexa
I158,Other secondary hypertension,Diseases of the circulatory system,Hypertensive diseases
I725,Aneurysm and dissection of other precerebral arteries,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
J013,Acute sphenoidal sinusitis,Diseases of the respiratory system,Acute upper respiratory infections
J931,Other spontaneous pneumothorax,Diseases of the respiratory system,Other diseases of pleura
K712,Toxic liver disease with acute hepatitis,Diseases of the digestive system,Diseases of liver
L021,"Cutaneous abscess, furuncle and carbuncle of neck",Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L270,Generalized skin eruption due to drugs and medicaments,Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L899,"Decubitus ulcer and pressure area, unspecified",Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
R659,"Systemic Inflammatory Response Syndrome, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
E038,Other specified hypothyroidism,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E786,Lipoprotein deficiency,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F321,Moderate depressive episode,Mental and behavioural disorders,Mood [affective] disorders
H050,Acute inflammation of orbit,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H472,Optic atrophy,Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways
J91,Pleural effusion in conditions classified elsewhere,Diseases of the respiratory system,Other diseases of pleura
K913,Postoperative intestinal obstruction,Diseases of the digestive system,Other diseases of the digestive system
R470,Dysphasia and aphasia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving speech and voice
T817,"Vascular complications following a procedure, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",Diseases of the circulatory system,Cerebrovascular diseases
Q282,Arteriovenous malformation of cerebral vessels,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
G049,"Encephalitis, myelitis and encephalomyelitis, unspecified",Diseases of the nervous system,Inflammatory diseases of the central nervous system
N412,Abscess of prostate,Diseases of the genitourinary system,Diseases of male genital organs
G048,"Other encephalitis, myelitis and encephalomyelitis",Diseases of the nervous system,Inflammatory diseases of the central nervous system
G461,Anterior cerebral artery syndrome (I66.1+),Diseases of the nervous system,Episodic and paroxysmal disorders
I661,Occlusion and stenosis of anterior cerebral artery,Diseases of the circulatory system,Cerebrovascular diseases
H669,"Otitis media, unspecified",Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
I616,"Intracerebral haemorrhage, multiple localized",Diseases of the circulatory system,Cerebrovascular diseases
M2441,Recurrent dislocation and subluxation of joint: shoulder region,Diseases of the musculoskeletal system and connective tissue,Arthropathies
D300,Benign neoplasm of kidney,Neoplasms,Benign neoplasms
D333,Benign neoplasm of cranial nerves,Neoplasms,Benign neoplasms
D379,"Benign neoplasm of digestive organ, unspecified",Neoplasms,Neoplasms of uncertain or unknown behaviour
G479,"Sleep disorder, unspecified",Diseases of the nervous system,Episodic and paroxysmal disorders
G510,Bell's palsy,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
G811,Spastic hemiplegia,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
G825,"Tetraplegia, unspecified",Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
J200,Acute bronchitis due to Mycoplasma pneumoniae,Diseases of the respiratory system,Other acute lower respiratory infections
J938,Other pneumothorax,Diseases of the respiratory system,Other diseases of pleura
J953,Chronic pulmonary insufficiency following surgery,Diseases of the respiratory system,Other diseases of the respiratory system
M0086,Arthritis and polyarthritis due to other specified bacterial agents: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M4199,"Scoliosis, unspecified: Site unspecified",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M510,Lumbar and other intervertebral disc disorders with myelopathy (G99.2*),Diseases of the musculoskeletal system and connective tissue,Dorsopathies
Q851,Tuberous sclerosis,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations
B957,Other staphylococcus as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
D432,"Neoplasm of brain, unspecified",Neoplasms,Neoplasms of uncertain or unknown behaviour
D680,Von Willebrand's disease,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
F160,Mental and behavioral disorders due to use of hallucinogens: Acute intoxication,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
G912,Normal pressure hydrocephalus,Diseases of the nervous system,Other disorders of the nervous system
G938,Other specified disorders of brain,Diseases of the nervous system,Other disorders of the nervous system
I612,"Intracerebral haemorrhage in hemisphere, unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I680,Cerebral amyloid angiopathy (E85.-+),Diseases of the circulatory system,Cerebrovascular diseases
J210,Acute bronchiolitis due to respiratory syncytial virus,Diseases of the respiratory system,Other acute lower respiratory infections
L959,"Vasculitis limited to the skin, unspecified",Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M952,Other acquired deformity of head,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
A530,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission
B171,Acute hepatitis C,Certain infectious and parasitic diseases,Viral hepatitis
I978,"Other postprocedural disorders of the circulatory system, not elsewhere classified",Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
R13,Dysphagia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R471,Dysarthria and anarthria,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving speech and voice
C060,"Malignant neoplasm of other and unspecified parts of mouth, cheek mucosa",Neoplasms,Malignant neoplasms
B009,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions
K768,Other specified diseases of liver,Diseases of the digestive system,Diseases of liver
D688,Other specified coagulation defects,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
F100,Mental and behavioral disorders due to use of alcohol: Acute intoxication,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
G810,Flaccid hemiplegia,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
H402,Primary angle-closure glaucoma,Diseases of the eye and adnexa,Glaucoma
H518,Other specified disorders of binocular movement,Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
J998,Respiratory disorders in other diseases classified elsewhere,Diseases of the respiratory system,Other diseases of the respiratory system
K551,Chronic vascular disorders of intestine,Diseases of the digestive system,Other diseases of intestines
M6008,Infective myositis: other,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8098,Unspecified osteoporosis with pathological fracture: other,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N459,"Orchitis, epididymitis and epididymo-orchitis without abscess",Diseases of the genitourinary system,Diseases of male genital organs
R680,"Hypothermia, not associated with low environmental temperature","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
B179,"Acute viral hepatitis, unspecified",Certain infectious and parasitic diseases,Viral hepatitis
D126,"Benign neoplasm of colon, unspecified",Neoplasms,Benign neoplasms
F010,Vascular dementia of acute onset,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
H356,Retinal haemorrhage,Diseases of the eye and adnexa,Disorders of choroid and retina
H534,Visual field defects,Diseases of the eye and adnexa,Visual disturbances and blindness
K610,Anal abscess,Diseases of the digestive system,Other diseases of intestines
K831,Obstruction of bile duct,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K921,Melaena,Diseases of the digestive system,Other diseases of the digestive system
M6266,Muscle strain: lower leg,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8482,Other disorders of continuity of bone: upper arm,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
M950,Acquired deformity of nose,Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue
R590,Localized enlarged lymph nodes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
G959,"Disease of spinal cord, unspecified",Diseases of the nervous system,Other disorders of the nervous system
Q273,Peripheral arteriovenous malformation,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
K6500,Primary peritonitis,Diseases of the digestive system,Diseases of peritoneum
C329,"Malignant neoplasm of larynx, unspecified",Neoplasms,Malignant neoplasms
F191,Mental and behavioral disorders due to use of multiple drug use and use of other psychoactive substances: Harmful use,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
J384,Oedema of larynx,Diseases of the respiratory system,Other diseases of upper respiratory tract
M1180,Other specified crystal arthropathies: multiple sites,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M4303,Spondylolysis: Cervicothoracic region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
R54,Senility,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
D131,Benign neoplasm of stomach,Neoplasms,Benign neoplasms
J13,Pneumonia due to Streptococcus pneumoniae,Diseases of the respiratory system,Influenza and pneumonia
J22,Unspecified acute lower respiratory infection,Diseases of the respiratory system,Other acute lower respiratory infections
G431,Migraine with aura [classical migraine],Diseases of the nervous system,Episodic and paroxysmal disorders
M1090,"Gout, unspecified: multiple sites",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1396,"Arthritis, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Arthropathies
R490,Dysphonia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving speech and voice
A170,Tuberculous meningitis (G01*),Certain infectious and parasitic diseases,Tuberculosis
A523,"Neurosyphilis, unspecified",Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission
A528,"Late syphilis, latent",Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission
A539,"Syphilis, unspecified",Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission
B004,Herpesviral encephalitis (G05.1*),Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions
B020,Zoster encephalitis (G05.1*),Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions
B839,"Helminthiasis, unspecified",Certain infectious and parasitic diseases,Helminthiases
C119,"Malignant neoplasm of nasopharynx, unspecified",Neoplasms,Malignant neoplasms
C23,Malignant neoplasm of gallbladder,Neoplasms,Malignant neoplasms
C320,"Malignant neoplasm of larynx, glottis",Neoplasms,Malignant neoplasms
C676,Malignant neoplasm of ureteric orifice,Neoplasms,Malignant neoplasms
D332,"Benign neoplasm of brain, unspecified",Neoplasms,Benign neoplasms
D391,Neoplasm of ovary,Neoplasms,Neoplasms of uncertain or unknown behaviour
G01,Meningitis in bacterial diseases classified elsewhere,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G021,Meningitis in mycoses classified elsewhere,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G040,Acute disseminated encephalitis,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",Diseases of the nervous system,Inflammatory diseases of the central nervous system
G214,Vascular parkinsonism,Diseases of the nervous system,Extrapyramidal and movement disorders
G373,Acute transverse myelitis in demyelinating disease of the central nervous system,Diseases of the nervous system,Demyelinating diseases of the central nervous system
G462,Posterior cerebral artery syndrome (I66.2+),Diseases of the nervous system,Episodic and paroxysmal disorders
H103,"Acute conjunctivitis, unspecified",Diseases of the eye and adnexa,Disorders of conjunctiva
H341,Central retinal artery occlusion,Diseases of the eye and adnexa,Disorders of choroid and retina
H401,Primary open-angle glaucoma,Diseases of the eye and adnexa,Glaucoma
I359,"Aortic valve disorder, unspecified",Diseases of the circulatory system,Other forms of heart disease
I491,Atrial premature depolarization,Diseases of the circulatory system,Other forms of heart disease
J852,Abscess of lung without pneumonia,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
K429,Umbilical hernia without obstruction or gangrene,Diseases of the digestive system,Hernia
K550,Acute vascular disorders of intestine,Diseases of the digestive system,Other diseases of intestines
K838,Other specified diseases of biliary tract,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
K918,"Other postprocedural disorders of digestive system, not elsewhere classified",Diseases of the digestive system,Other diseases of the digestive system
L219,"Seborrhoeic dermatitis, unspecified",Diseases of the skin and subcutaneous tissue,Dermatitis and eczema
L80,Vitiligo,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M0097,"Pyogenic arthritis, unspecified: ankle and foot",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1196,"Crystal arthropathy, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M4186,Other forms of scoliosis: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4781,Other spondylosis: Occipito-atlanto-axial region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4796,"Spondylosis, unspecified: Lumbar region",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4807,Spinal stenosis: Lumbosacral region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M7916,Myalgia: lower leg,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
N022,Recurrent and persistent haematuria: diffuse membranous glomerulonephritis,Diseases of the genitourinary system,Glomerular diseases
N304,Irradiation cystitis,Diseases of the genitourinary system,Other diseases of urinary system
N323,Diverticulum of bladder,Diseases of the genitourinary system,Other diseases of urinary system
N47,"Redundant prepuce, phimosis and paraphimosis",Diseases of the genitourinary system,Diseases of male genital organs
O244,Diabetes mellitus arising in pregnancy,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
R32,Unspecified urinary incontinence,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
R631,Polydipsia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R876,Abnormal findings in specimens from female genital organs: cytological findings,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
A182,Tuberculous peripheral lymphadenopathy,Certain infectious and parasitic diseases,Tuberculosis
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
C180,"Malignant neoplasm of colon, caecum",Neoplasms,Malignant neoplasms
D151,Benign neoplasm of heart,Neoplasms,Benign neoplasms
D562,Delta-beta thalassaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
E210,Primary hyperparathyroidism,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
G712,Congenital myopathies,Diseases of the nervous system,Diseases of myoneural junction and muscle
H729,"Perforation of tympanic membrane, unspecified",Diseases of the ear and mastoid process,Diseases of middle ear and mastoid
J320,Chronic maxillary sinusitis,Diseases of the respiratory system,Other diseases of upper respiratory tract
K571,Diverticular disease of small intestine without perforation or abscess,Diseases of the digestive system,Other diseases of intestines
K627,Radiation proctitis,Diseases of the digestive system,Other diseases of intestines
M1187,Other specified crystal arthropathies: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1397,"Arthritis, unspecified: ankle and foot",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M754,Impingement syndrome of shoulder,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8108,Postmenopausal osteoporosis: other,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N814,"Uterovaginal prolapse, unspecified",Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q203,Discordant ventriculoarterial connection,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q256,Stenosis of pulmonary artery,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
R931,Abnormal findings on diagnostic imaging of heart and coronary circulation,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
B350,Tinea barbae and tinea capitis,Certain infectious and parasitic diseases,Mycoses
B89,Unspecified parasitic disease,Certain infectious and parasitic diseases,"Pediculosis, acariasis and other infestations"
C341,"Malignant neoplasm of upper lobe, bronchus or lung",Neoplasms,Malignant neoplasms
D531,"Other megaloblastic anaemias, not elsewhere classified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias
E731,Secondary lactase deficiency,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F121,Mental and behavioral disorders due to use of cannabinoids: Harmful use,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F170,Mental and behavioral disorders due to use of tobacco: Acute intoxication,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F330,"Recurrent depressive disorder, current episode mild",Mental and behavioural disorders,Mood [affective] disorders
G401,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,Diseases of the nervous system,Episodic and paroxysmal disorders
G902,Horner's syndrome,Diseases of the nervous system,Other disorders of the nervous system
H021,Ectropion of eyelid,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H353,Degeneration of macula and posterior pole,Diseases of the eye and adnexa,Disorders of choroid and retina
H544,"Blindness, monocular",Diseases of the eye and adnexa,Visual disturbances and blindness
H810,Meniere's disease,Diseases of the ear and mastoid process,Diseases of inner ear
I342,Nonrheumatic mitral (valve) stenosis,Diseases of the circulatory system,Other forms of heart disease
J101,"Influenza with other respiratory manifestations, other influenza virus identified",Diseases of the respiratory system,Influenza and pneumonia
K868,Other specified diseases of pancreas,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
L400,Psoriasis vulgaris,Diseases of the skin and subcutaneous tissue,Papulosquamous disorders
M2546,Effusion of joint: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M5419,Radiculopathy: Site unspecified,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M5488,Other dorsalgia: Sacral and sacrococcygeal region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M6524,Calcific tendinitis: hand,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
N139,"Obstructive and reflux uropathy, unspecified",Diseases of the genitourinary system,Renal tubulo-interstitial diseases
N761,Subacute and chronic vaginitis,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs
R278,Other and unspecified lack of coordination,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the nervous and musculoskeletal systems
R620,Delayed milestone,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
B199,Unspecified viral hepatitis without hepatic coma,Certain infectious and parasitic diseases,Viral hepatitis
E711,Other disorders of branched-chain amino-acid metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
G454,Transient global amnesia,Diseases of the nervous system,Episodic and paroxysmal disorders
R203,Hyperaesthesia,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the skin and subcutaneous tissue
C150,"Malignant neoplasm of oesophagus, cervical part of oesophagus",Neoplasms,Malignant neoplasms
C323,"Malignant neoplasm of larynx, laryngeal cartilage",Neoplasms,Malignant neoplasms
I650,Occlusion and stenosis of vertebral artery,Diseases of the circulatory system,Cerebrovascular diseases
L039,"Cellulitis, unspecified",Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
G463,Brain stem stroke syndrome (I60-I67+),Diseases of the nervous system,Episodic and paroxysmal disorders
G560,Carpal tunnel syndrome,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
H509,"Strabismus, unspecified",Diseases of the eye and adnexa,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
M357,Hypermobility syndrome,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
Q142,Congenital malformation of optic disc,"Congenital malformations, deformations and chromosomal abnormalities","Congenital malformations of eye, ear, face and neck"
G061,Intraspinal abscess and granuloma,Diseases of the nervous system,Inflammatory diseases of the central nervous system
G360,Neuromyelitis optica [Devic],Diseases of the nervous system,Demyelinating diseases of the central nervous system
H052,Exophthalmic conditions,Diseases of the eye and adnexa,"Disorders of eyelid, lacrimal system and orbit"
H109,"Conjunctivitis, unspecified",Diseases of the eye and adnexa,Disorders of conjunctiva
H403,Glaucoma secondary to eye trauma,Diseases of the eye and adnexa,Glaucoma
H931,Tinnitus,Diseases of the ear and mastoid process,Other disorders of ear
I7030,Atherosclerosis of carotid artery without gangrene,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
M2553,Pain in joint: forearm,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M2555,Pain in joint: pelvic region and thigh,Diseases of the musculoskeletal system and connective tissue,Arthropathies
E660,Obesity due to excess calories,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation
L138,Other specified bullous disorders,Diseases of the skin and subcutaneous tissue,Bullous disorders
N801,Endometriosis of ovary,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
K132,"Leukoplakia and other disturbances of oral epithelium, including tongue",Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
M758,Other shoulder lesions,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
D682,Hereditary deficiency of other clotting factors,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
G062,"Extradural and subdural abscess, unspecified",Diseases of the nervous system,Inflammatory diseases of the central nervous system
G118,Other hereditary ataxias,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system
I312,"Haemopericardium, not elsewhere classified",Diseases of the circulatory system,Other forms of heart disease
J851,Abscess of lung with pneumonia,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract
K225,"Diverticulum of oesophagus, acquired",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
M8109,Postmenopausal osteoporosis: site unspecified,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N289,"Disorder of kidney and ureter, unspecified",Diseases of the genitourinary system,Other disorders of kidney and ureter
R065,Mouth breathing,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R798,Other specified abnormal findings of blood chemistry,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
T811,"Shock during or resulting from a procedure, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
K273,"Peptic ulcer, site unspecified: acute without haemorrhage or perforation",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
D598,Other acquired haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
G838,Other specified paralytic syndromes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
K251,Gastric ulcer: acute with perforation,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K315,Obstruction of duodenum,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K851,Biliary acute pancreatitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
M4716,Other spondylosis with myelopathy: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
N135,Kinking and stricture of ureter without hydronephrosis,Diseases of the genitourinary system,Renal tubulo-interstitial diseases
A021,Salmonella sepsis,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A481,Legionnaires' disease,Certain infectious and parasitic diseases,Other bacterial diseases
F018,Other vascular dementia,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
K869,"Disease of pancreas, unspecified",Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
E763,"Mucopolysaccharidosis, unspecified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
A241,Acute and fulminating melioidosis,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases
G259,"Extrapyramidal and movement disorder, unspecified",Diseases of the nervous system,Extrapyramidal and movement disorders
K630,Abscess of intestine,Diseases of the digestive system,Other diseases of intestines
F449,"Dissociative [conversion] disorder, unspecified",Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F450,Somatization disorder,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
C449,"Malignant neoplasm of skin, unspecified",Neoplasms,Malignant neoplasms
D611,Drug-induced aplastic anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
G562,Lesion of ulnar nerve,Diseases of the nervous system,"Nerve, nerve root and plexus disorders"
M7963,Pain in limb: forearm,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
T824,Mechanical complication of vascular dialysis catheter,"Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
N288,Other specified disorders of kidney and ureter,Diseases of the genitourinary system,Other disorders of kidney and ureter
B354,Tinea corporis,Certain infectious and parasitic diseases,Mycoses
M4197,"Scoliosis, unspecified: Lumbosacral region",Diseases of the musculoskeletal system and connective tissue,Dorsopathies
Q632,Ectopic kidney,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system
A244,"Melioidosis, unspecified",Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases
C254,"Malignant neoplasm of pancreas, endocrine pancreas",Neoplasms,Malignant neoplasms
D481,Neoplasm of connective and other soft tissue,Neoplasms,Neoplasms of uncertain or unknown behaviour
D824,Hyperimmunoglobulin E [IgE] syndrome,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism
K861,Other chronic pancreatitis,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
R179,"Jaundice, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R53,Malaise and fatigue,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
